player_id,position,test_date,concentric_peak_force,concentric_mean_power_bm,countermovement_depth,rsi_modified
2993,Pivot,2021-02-21,294.906177022072,34.265,-31.0318245139585,63.6954730547653
2993,Pivot,2021-02-23,281.650180481144,31.5592,-31.3578262710881,60.4346469798809
2993,Pivot,2021-02-26,280.992719142992,30.7928,-32.0625052586578,63.3669721582731
2993,Pivot,2021-03-06,279.201661370193,29.3046,-31.7089176535272,57.8807971397209
2993,Pivot,2021-03-10,270.922395940017,30.2782,-29.2103122544666,60.0185495311018
2993,Pivot,2021-03-25,278.25836855919,32.7238,-26.5546963719713,67.5875221678252
2993,Pivot,2021-05-17,274.565298766678,30.4971666666667,-25.6449613161561,53.847266734951
2993,Pivot,2021-06-29,270.06842629381,35.0605,-23.1911790565395,75.2092910332645
2993,Pivot,2021-07-21,279.415740384907,37.71225,-22.3753509661626,83.4214321326657
3045,Base,2021-04-08,282.801006467036,33.882,-30.4342385755076,68.6607378559102
3045,Base,2021-04-16,286.786988815095,32.6978,-31.682911906288,61.9260101107281
3045,Base,2021-04-19,284.979098610092,34.9848,-30.3126664141353,73.8776905951533
3045,Base,2021-04-22,274.312006930043,32.9612,-35.9243007860854,69.3766246867232
3045,Base,2021-04-25,268.10057614509,32.2806,-32.4604375939179,64.3610359823718
3045,Base,2021-05-05,271.092391128089,33.7778,-33.4663504958896,73.3496611236127
3045,Base,2021-05-08,271.001191162181,33.2514,-33.6140798175242,70.1085227899955
3045,Base,2021-05-22,277.674704428191,36.4594,-33.6791451442798,76.7031450100098
3045,Base,2021-05-28,272.78785508515,32.7585,-32.988183905704,67.1630182636427
3045,Base,2021-09-16,273.678810495993,34.314,-31.9395185048336,71.0421083613795
3185,Alero,2021-04-08,281.903299965069,38.536,-23.8470668484949,76.6729787002593
3185,Alero,2021-04-19,262.800487228066,36.7342,-19.6026141708613,71.8319659441913
3185,Alero,2021-04-22,261.112656940019,37.6064,-19.591613205793,66.6029216870079
3185,Alero,2021-04-25,278.345988881921,38.2008,-23.5582968392655,74.0770128821905
3185,Alero,2021-05-08,263.722752352088,37.4976,-19.9317497103166,73.9651315229939
3185,Alero,2021-05-22,270.391805494134,40.487,-19.8869109709118,79.3720165601169
3185,Alero,2021-06-18,276.166383393874,37.2929473684211,-23.1232070670796,68.5546837402129
3185,Alero,2021-07-13,287.557181440019,40.8964,-22.2682561731104,81.5527383491576
3185,Alero,2021-08-19,279.284356999993,40.6304,-21.677306958987,78.7751048136359
3194,Alero,2021-04-05,293.554363691094,37.0522,-33.2375051579527,75.5213806205074
3194,Alero,2021-04-21,286.236651163095,35.151,-30.7720470386642,71.1506435524677
3194,Alero,2021-05-27,295.454554398728,37.7626,-31.0173415050407,76.6482258552823
3194,Alero,2021-06-03,285.09436395835,34.2072,-33.6158116833785,68.2384283074334
3194,Alero,2021-06-09,291.606503300201,36.2036,-32.1221127022526,81.0101205365361
3194,Alero,2021-06-15,296.593047400111,37.6376,-30.6339101801683,80.5515666690239
3194,Alero,2021-11-13,290.038012456595,37.562,-32.6756173687511,77.7107281402969
4317,Pivot,2021-02-18,291.380263745172,37.332,-36.9011322586345,64.7150242180115
4317,Pivot,2021-02-22,282.535429149068,35.3376,-35.671437254798,67.5214429709296
4317,Pivot,2021-02-25,280.755661477018,34.9674,-37.5450042600118,68.7781970718479
4317,Pivot,2021-03-01,285.155362436195,37.9402,-35.8127416476168,79.0959678908693
4317,Pivot,2021-03-06,282.474295440019,36.4272,-38.2787211226449,73.6456388883531
4317,Pivot,2021-03-11,290.996969467071,39.0362,-35.3134811294727,82.0590960503621
4317,Pivot,2021-03-16,291.061162273067,40.0236,-34.2453157132165,81.100830514747
4317,Pivot,2021-03-21,283.122430075019,39.0022,-33.9003218628467,78.704906939678
4317,Pivot,2021-04-22,289.606632063122,41.5404,-28.297656207935,86.5052750508266
4317,Pivot,2021-04-29,291.189821600116,44.3544,-26.284666034405902,98.0504195290457
4317,Pivot,2021-05-05,289.153675907785,42.7346,-26.0976289244669,91.8429214934657
4317,Pivot,2021-05-08,291.216618100034,43.102,-27.618108436667,95.9867317334831
4317,Pivot,2021-05-11,292.12279127202,43.5944,-25.8266075488953,95.8035756952638
4317,Pivot,2021-05-13,295.985958930098,44.7278,-26.8679371384006,97.0199561526474
4317,Pivot,2021-05-16,296.828364762433,44.798,-24.7073019765473,94.0008747516057
4317,Pivot,2021-06-11,281.344789723877,40.1148,-25.2354490776519,86.0106588259363
4317,Pivot,2021-06-29,295.481108342046,44.719,-26.8940645063737,96.1754551617817
4317,Pivot,2021-07-11,297.622014302016,43.5574,-28.0556323150004,92.7981879146606
4317,Pivot,2021-07-18,290.578609536432,43.0474,-26.6141478152996,95.1258851179068
4317,Pivot,2021-09-22,296.743354344189,41.2976,-26.9653931945385,91.0676990787373
5295,Base,2021-02-24,293.61187528607,33.3872,-33.6615826563518,61.5198919357579
5295,Base,2021-03-23,300.297988646098,36.2138,-32.7666056865208,68.7941546489377
5295,Base,2021-04-05,310.783769267102,38.0158,-32.4022896850919,72.2269211939841
5295,Base,2021-04-24,301.86600074507,37.5086,-28.7758102441915,72.8697699654401
5295,Base,2021-05-01,313.55877433953,40.7638,-27.1116992914994,77.4602673692032
5295,Base,2021-05-22,297.76435937662,39.3762,-24.0987472778967,76.9404653696767
5295,Base,2021-06-09,305.832119765123,39.7726,-23.787235835867,77.5322032742662
5295,Base,2021-06-17,306.715970099001,42.3636,-22.8404107252353,85.8092178720424
5295,Base,2021-06-25,312.047902334815,40.382,-25.9027104048876,77.5118004957288
